#Table1
u,g,r,i,z,subClass
21.25741,18.91059,17.69886,17.24792,16.95913,K7
23.12237,20.88461,19.50009,18.92769,18.6083,K7
19.70317,19.2582,19.44734,19.69653,19.86043,WD
26.0006,21.2721,19.63244,17.72215,16.63409,M6
21.919,20.73483,20.24433,19.9523,19.97649,G2
24.04642,22.24218,20.49011,18.61184,17.55341,M5
18.04055,17.13612,16.80077,16.66044,16.62012,F5
19.18385,18.19133,17.81261,17.65885,17.62477,F5
17.75521,16.82834,16.5473,16.42018,16.40373,F5
20.20792,19.01105,18.51669,18.43606,18.077,F9
20.10832,19.72892,19.9412,20.16961,20.23119,WD
18.08748,16.80183,16.95004,17.06244,17.12975,A0
18.824,17.81007,17.47389,17.33373,17.29302,F5
24.19387,21.27157,20.42739,20.15848,20.44175,K3
19.5547,19.09664,19.20418,19.3997,19.47154,WD
19.00308,18.08822,17.83752,17.7423,17.73567,A0
17.99199,16.9005,16.92692,16.98418,17.03204,A0
23.98048,21.04002,19.60509,18.81349,17.99686,M1
17.367,17.3966,17.76691,18.07994,18.408,WD
22.5368,21.33774,20.53156,20.26251,19.78897,K3
20.08042,18.50745,17.83182,17.54641,17.39158,K3
23.52793,21.16099,20.3026,19.9325,20.23678,K3
23.23009,21.69197,20.11036,17.9574,16.75731,M6
19.03718,17.85146,17.36477,17.17879,17.10361,F9
20.0432,19.12164,18.76605,18.60923,18.22601,F5
19.98911,19.70917,19.99182,20.23346,20.39863,WD
19.06058,17.93351,18.17362,18.33214,18.38084,A0p
19.67748,18.55637,18.07803,17.89015,17.81522,G2
25.23216,21.27175,20.44252,20.13337,20.34375,K5
23.44451,20.83096,19.18335,16.97094,15.77068,M6
20.56683,18.91084,18.27191,18.08732,18.24414,T2
23.52916,22.14873,20.53327,18.51559,17.32322,M6
24.33758,19.77953,18.22955,16.3936,15.36125,M5
18.59945,17.46379,17.54155,17.62728,17.73754,A0
19.64652,18.53305,18.00606,17.81271,17.70923,F2
19.36192,18.33096,17.92405,17.72529,17.63055,F5
19.19812,19.08303,19.32678,19.47003,19.30466,WD
21.03653,19.93234,19.38781,19.2325,19.12994,F9
22.93172,21.65147,20.2368,18.38705,17.39182,M5
20.40277,17.98166,16.94678,16.90879,16.34712,K5
19.26733,18.8181,18.96776,18.73516,18.29969,WD
19.42533,18.23558,17.80441,17.64399,17.59034,G2
17.50197,15.64955,14.9236,14.67122,14.55067,K1
18.11466,17.14752,16.83217,16.72554,16.67492,F5
19.15576,18.07105,17.6352,17.48098,17.40362,G2
20.35902,19.08113,19.14141,19.21061,19.17887,A0
19.96272,18.82751,18.8449,18.97078,19.02865,A0
20.36583,19.21828,18.90178,18.83954,18.96046,F5
20.76253,19.56009,19.21857,19.11731,19.05749,F5
18.63609,17.39167,17.59035,17.7481,17.85545,A0
23.92258,20.58927,19.49526,19.02666,18.94791,K7
17.5629,16.62885,16.34078,16.23234,16.18248,F5
17.26647,16.01631,16.16392,16.2859,16.36373,A0
20.16631,19.04901,18.934,18.93369,18.97127,A0
17.54177,16.61452,16.33221,16.23334,16.2028,F5
23.20004,21.11127,19.64739,19.06367,18.67939,K7
18.64787,17.59222,17.16707,17.00873,16.93515,F5
19.01038,18.07016,17.79847,17.69125,17.71122,A0
18.90207,17.87324,17.44717,17.27396,17.20338,G0
17.67724,16.00506,15.37426,15.16362,15.06272,F9
18.46594,17.06769,16.4876,16.29662,16.18478,F9
19.66779,18.53876,18.66098,18.82058,18.8265,A0
21.18252,20.34055,20.02622,19.97219,20.12482,A0
19.39384,17.59572,16.88713,16.90642,16.48324,K1
18.02892,17.06476,16.73472,16.61642,16.57814,F5
20.14878,18.90339,18.88996,18.79355,18.79345,A0
22.35311,20.16237,18.79836,17.8932,17.18222,M1
20.8542,18.95762,18.25699,18.06983,18.37247,CarbonWD
21.20097,18.68395,17.4989,17.08714,16.83128,K5
20.26076,17.14216,15.88484,15.3802,15.09817,K3
21.99468,19.1243,17.61904,16.8954,16.47069,M0
19.00148,17.54479,16.90624,16.64793,16.51195,F9
19.31212,18.1679,18.10959,18.08656,18.1172,A0
19.04142,17.73759,17.14288,16.88808,16.74127,G2
18.67578,17.64483,17.45238,17.40376,17.40799,A0
18.59598,17.69751,17.38944,17.27189,17.24526,A0
18.35601,17.1693,16.62393,16.37054,16.23593,F5
17.94422,16.74664,16.84081,16.94304,16.99467,A0
15.99935,15.33655,15.57845,15.78915,15.98583,A0p
21.64234,20.26531,20.3971,20.6841,20.74483,A0
20.15321,18.96545,19.03942,19.0972,19.17222,A0
20.46624,19.24374,19.28356,19.32864,19.42797,A0
22.01315,20.89398,20.36062,20.2326,19.81637,M0
19,17.89434,17.47139,17.3082,17.25584,G0
18.6769,17.78154,17.52458,17.42232,17.38025,A0
18.76266,17.25724,16.68513,16.47563,16.38993,F9
17.80041,16.46003,15.90095,15.66963,15.53772,G2
